id,text,hash
0,"Thousands living in the central city in a wide range of housing. Especially highrise. LA, Taipei, Kobe-they're not afraid of tall bldgs",39ea774e66ccbebf8297542965c8d4cc3b434ddc7cfd32140ee12e7121041bc9
1,"I believe that the city centre (CBD) should be of high density with medium rise building of 7, 8 and 9 stories high.",a96d7661f0567865be9e569a062bb5c5c2804db49e311aeccf2bc86a3a907a4a
2,New buildings of 3-4 floors will help keep people in the centre. High pop. density brings life to cities and creates economic viability.,c45e85656fce6eecf3d8700f5eb3ceeb388fefcb6a7b11be60477b05a0a9c853
3,"want high density housing, with low footprint technologies surrounded by green / social / community space and linked to local business",f47d7c74d1cab86e0e9ab46a40560d606d019010a562847eccd581b6281a3e75
4,a medium-density thriving creative centre attracting talent and new residents from around the country and the world,f0db28cd42cc07ca108f62d7bb42b1c0ab0c0f36e8a81e434810bb66dfb559d2
5,Encourage more high density central city residential living,f185247fcf2f5372f31c2224b7a7c5a78d565d2cb0dfa6ab2782a631f1879aeb
6,Take note of places like central Barcelona; low-rise high density living with inviting social / commercial spaces at ground level.,3cb414c9511e341d2e02950f98d975c79dc862e8d2ca5d0ff03be5e327b86146
7,I don't want lots of apartments cheaply built and crammed in with no trees or open space around them. We don't want any more wall to wall concrete. We don't want cheap and nasty infill anywhere which will become ghettos in the future.,6c5ca1bb4f74d53e2fdf49c61f1865805335ed7a59ab810dfd20fdfa2bd41343
8,"Great central city apartment living. Low-rise, shared courtyards, no ugly battery hen developments. Quality and affordability",4b2f3a27207e35324c7eba1ef69f1c4612f54d7fdc1539f4f93f439854b6355c
9,"I want family and small child friendly spaces. Maybe high density living with purpose built childcare facilities for working families, safe walkways to and fro. Somehow incentives large companies to be based in the same areas to increase workers potential for work life balance with their families",8d8595527e2d9f0828bdd6446ef0582b17aac1aff9c841f20ccb379cde7ac4b1
10,More mixed use-retail / commercial / residential with some cultural facilities nearby. To bring vibrant mix into rundown / empty areas of CBD,06897651cb9e9cf84ad67085808b895e0a2db357c1ba481e15e23bba830c353f
11,"Mixed use spaces, dispersed with green spaces and the arts & creativity sectors at the heart of the city, not just a precinct, but throughout the city!",26234b6a0d1a4cbf03f84e894287239c5307759470ba20631555823c3d23d5b8
12,"All blocks / neighbourhoods should contain a vibrant mix of residential, retail, commercial, cultural, entertainment & hospitality spaces.",ac67ac23777895b0c7fdc5a1c1392f7447657213003ce6b474f6bb80bcf1e5f9
13,"Mixed use with residential, entertainment, retail + services, green spaces + seating.",91828f5928670690f0b78bdce685ddd393842b9ddd0cb5a07c9207f10aa362a9
14,"Open with a mix of retail areas, commercial, business & public parks",36ab80d0df4f64d7c47602170481f1688a4e229d34510341ef92ce15cbe55b2c
15,"mixed spaces, office, shopping and living in one area.",af14b279847db8650287a7ddeec46650e0770316bbf730e31f7c5702d404d482
16,"I want to see a mix of quiet spaces, memorial parks etc, grass spaces to sit and ponder and faster pace areas with night markets, late coffee shops, market space that would take up a whole block and be open everyday, including flower market, fruit and vegies, crafts, old bookshops, shops to wander in and practical shops. Low level buildings with a mix retail, office and living to gather. School and preschools close by.",db4a7f3f06c2d4b913b11e2aadb0ecfabf12dc8391ce9fecc08f14c891a32e93
17,"Multi-use buildings-retail, restaurants etc at ground level, residential, office space and niche stores above",3bf3c44bb68510b58c74f22845a0607fc1b0961c2a539fc56b76c8aeda12b13e
18,"More residential apartments interspersed with business, culture, and entertainment, Keep the centre alive 24/7.",ed510578a901e796ac5125501343966a600a8d951b57cc1859cc02a19af4be51
19,"Mixed use buildings! Retail, offices and apartments so the space is activated 24/7 leading to a safe and vibrant city.",77508a2e345c435696acfc0028a8a8fe2fbc16e3f1892b87ae13077a7147e8b3
